"Dataset","Series Key","Series","Observation Date","Observation Value","Unit","Observation Status","Observation Status Comment"
"Gold and Foreign Exchange Reserves of Pakistan","TS_GP_EXT_PAKRES_M.Z00010","Gold","31-Jan-2016","2306","Million USD","Normal",""
"Gold and Foreign Exchange Reserves of Pakistan","TS_GP_EXT_PAKRES_M.Z00010","Gold","31-Dec-2015","2203","Million USD","Normal",""
"Gold and Foreign Exchange Reserves of Pakistan","TS_GP_EXT_PAKRES_M.Z00010","Gold","30-Nov-2015","2202","Million USD","Normal",""
"Gold and Foreign Exchange Reserves of Pakistan","TS_GP_EXT_PAKRES_M.Z00010","Gold","31-Oct-2015","2369","Million USD","Normal",""
"Gold and Foreign Exchange Reserves of Pakistan","TS_GP_EXT_PAKRES_M.Z00010","Gold","30-Sep-2015","2310","Million USD","Normal",""
"Gold and Foreign Exchange Reserves of Pakistan","TS_GP_EXT_PAKRES_M.Z00010","Gold","31-Aug-2015","2354","Million USD","Normal",""
"Gold and Foreign Exchange Reserves of Pakistan","TS_GP_EXT_PAKRES_M.Z00010","Gold","31-Jul-2015","2278","Million USD","Normal",""
"Gold and Foreign Exchange Reserves of Pakistan","TS_GP_EXT_PAKRES_M.Z00010","Gold","30-Jun-2015","2428","Million USD","Normal",""
"Gold and Foreign Exchange Reserves of Pakistan","TS_GP_EXT_PAKRES_M.Z00010","Gold","31-May-2015","2469","Million USD","Normal",""
"Gold and Foreign Exchange Reserves of Pakistan","TS_GP_EXT_PAKRES_M.Z00010","Gold","30-Apr-2015","2446","Million USD","Normal",""
"Gold and Foreign Exchange Reserves of Pakistan","TS_GP_EXT_PAKRES_M.Z00010","Gold","31-Mar-2015","2460","Million USD","Normal",""
"Gold and Foreign Exchange Reserves of Pakistan","TS_GP_EXT_PAKRES_M.Z00010","Gold","28-Feb-2015","2516","Million USD","Normal",""
"Gold and Foreign Exchange Reserves of Pakistan","TS_GP_EXT_PAKRES_M.Z00010","Gold","31-Jan-2015","2612","Million USD","Normal",""
"Gold and Foreign Exchange Reserves of Pakistan","TS_GP_EXT_PAKRES_M.Z00010","Gold","31-Dec-2014","2486","Million USD","Normal",""
"Gold and Foreign Exchange Reserves of Pakistan","TS_GP_EXT_PAKRES_M.Z00010","Gold","30-Nov-2014","2452","Million USD","Normal",""
"Gold and Foreign Exchange Reserves of Pakistan","TS_GP_EXT_PAKRES_M.Z00010","Gold","31-Oct-2014","2413","Million USD","Normal",""
"Gold and Foreign Exchange Reserves of Pakistan","TS_GP_EXT_PAKRES_M.Z00010","Gold","30-Sep-2014","2521","Million USD","Normal",""
"Gold and Foreign Exchange Reserves of Pakistan","TS_GP_EXT_PAKRES_M.Z00010","Gold","31-Aug-2014","2665","Million USD","Normal",""
"Gold and Foreign Exchange Reserves of Pakistan","TS_GP_EXT_PAKRES_M.Z00010","Gold","31-Jul-2014","2664","Million USD","Normal",""
"Gold and Foreign Exchange Reserves of Pakistan","TS_GP_EXT_PAKRES_M.Z00010","Gold","30-Jun-2014","2726","Million USD","Normal",""
"Gold and Foreign Exchange Reserves of Pakistan","TS_GP_EXT_PAKRES_M.Z00010","Gold","31-May-2014","2591","Million USD","Normal",""
"Gold and Foreign Exchange Reserves of Pakistan","TS_GP_EXT_PAKRES_M.Z00010","Gold","30-Apr-2014","2669","Million USD","Normal",""
"Gold and Foreign Exchange Reserves of Pakistan","TS_GP_EXT_PAKRES_M.Z00010","Gold","31-Mar-2014","2676","Million USD","Normal",""
"Gold and Foreign Exchange Reserves of Pakistan","TS_GP_EXT_PAKRES_M.Z00010","Gold","28-Feb-2014","2748","Million USD","Normal",""
"Gold and Foreign Exchange Reserves of Pakistan","TS_GP_EXT_PAKRES_M.Z00010","Gold","31-Jan-2014","2592","Million USD","Normal",""
